19,0,1,10,1
17,0,1,12,1
15,0,1,16,1
19,0,1,10,1
17,0,1,12,1
15,0,1,16,1
19,0,1,10,1
17,0,1,12,1
15,0,1,16,1
17,0,1,12,1
17,0,1,12,1
20,0,1,16,1
19,0,1,23,1
9,1,2,60,2
9,1,2,50,2
9,1,2,70,2
7,1,2,70,2
10,1,2,40,2
9,1,2,60,2
9,1,2,50,2
9,1,2,70,2
7,1,2,70,2
10,1,2,40,2
9,1,2,60,2
9,1,2,50,2
9,1,2,70,2
7,1,2,70,2
10,1,2,40,2
7,1,2,70,2
9,1,2,62,2
7,1,2,70,2
9,1,2,14,2
80,2,0,200,0
65,2,0,170,0
65,2,0,170,0
65,2,0,170,0
44,2,0,170,0
8,2,2,65,2
72,2,0,150,0
11,3,2,100,2
11,3,2,100,2
11,3,2,100,2
55,3,3,160,0
80,3,3,300,0
